sensor_time,speed,pwm_value
1176,493.9,101
1172,495.5,104
1208,497.44,98
1208,498.74,103
1204,499.39,109
1212,497.69,134
1192,499.35,105
1224,498.05,130
1224,496.75,131
1216,495.44,133
1200,495.11,123
1184,495.79,113
1172,500.14,72
1212,504.84,63
1192,507.15,85
1236,504.24,140
1220,500.29,154
1216,496.59,156
1204,493.51,152
1160,496.29,91
1164,499.87,79
1188,503.48,76
1204,504.47,101
1212,503.81,118
1216,500.69,146
1188,501.03,111
1220,498.38,143
1208,498.05,119
1200,498.38,114
1184,499.4,106
1180,500.08,108
1172,504.11,71
1216,506.81,81
1192,508.15,94
1232,504.2,150
1220,500.22,155
1216,496.52,156
1208,493.82,148
1168,495.88,99
1164,498.48,91
1192,501.43,84
1196,503.08,96
1196,504.08,101
1212,501.67,137
1192,502.35,106
1228,499.39,145
1220,499.73,112
1216,498.08,128
1196,498.08,117
1188,498.42,113
1180,500.37,95
1180,501.39,103
1196,503.04,96
1228,500.43,141
1212,497.46,147
1208,497.13,121
1204,495.1,140
1172,497.15,97
1172,497.79,111
1212,498.77,107
1204,499.1,113
1196,500.1,108
1204,498.72,130
1184,501.71,84
1216,501.38,117
1224,502.05,106
1228,499.1,146
1212,497.1,138
1192,496.42,123
1180,497.4,108
1172,499.46,95
1184,503.09,76
1220,502.44,119
1204,499.49,145
1212,498.83,123
1208,495.78,150
1176,496.47,112
1176,497.45,108
1204,499.39,96
1192,501.06,98
1200,502.05,103
1196,500.35,132
1192,501.68,100
1224,500.05,131
1224,499.71,119
1224,497.42,141
1200,497.08,121
1184,497.76,113
1176,499.39,105
1176,501.1,97
1188,504.07,81
1220,502.43,129
1208,499.76,142
1212,499.11,123
1208,496.4,146
1180,497.09,111
1180,497.74,111
